date,title,cPOS
2019.04.11,"{'3회에야 나온 KIA 첫 안타', '[SC프리토크]KIA 김기태 감독 ""이범호, 당분간 히든카드 활용""', ""KIA 최원준, '주어진 기회' 놓치지 않는다"", ""[SC핫포커스]'연장 끝내기' 최원준의 남다른 스피드, KIA 미래를 본 한 판이었..."", '기아차 광주공장, 장애인과 함께하는 야구 관람', '아시안타이거즈 트랜스팩, 수출입안전관리우수업체(AEO) 선정', '2대3로 추격하는 KIA', 'KIA 양현종, 초반 실점 발목 잡았다… 4연패', '[SC현장분석]8이닝 혼신투 KIA 양현종, 트라우마-불운에 눈물', ""'노진혁 쐐기타' 0C, KIA에 전날 패배 설욕"", ""[SC현장리뷰]'최성영 5이닝 9K' 0C, KIA 4대2 제압"", '4대2로 KIA 꺾은 0C'}",1
2019.04.12,"{'KIA 선발투수 터너', ""'믿을맨' 하준영의 붕괴, 연장 버텨도 승리 없는 KIA 불펜"", '여수시, 기아타이거즈 야구경기서 ‘거북선축제’ 홍보', 'KIA 이범호 1루수 첫 선발출전...SK 최정도 라인업 복귀 [현장 S0S]', '기아차 광주공장 파트장협의회, 장애인과 함께 야구관람', '[프로야구] KIA 이범호, 올 시즌 첫 선발 출전… 301일만에 1루수', '[SC인&아웃] 최 정, 헤드샷 후유증 털고 KIA전 선발 복귀', ""KIA '내일은 승리한다'[포토]"", '눈물 겨운 타이거즈, 뒤집고 뒤집혀도 영건은 달린다[김성태의 플래시백]', ""'엔트리 총출동' SK-KIA, 12회 혈투 끝에 첫 무승부"", ""[체크스윙] '강제 리빌딩' KIA, 이범호-최원준 '동행' 가능?"", '터너 이어 양현종도 구위 회복...KIA 선발진 정상가동?', '타이거즈 리빌딩과 김기태의 호불호는 별개', '기아차 광주전남역본부, 시설 원생 초청 야구경기 관람', '[SC현장속보]KIA 터너, SK전 6이닝 1실점 호투…첫승 요건'}",1
2019.04.13,"{'KIA 한승택, 통쾌한 역전 그랜드슬램', '한승택 만루포&양승철 첫 승...기아, SK에 6-4 역전승', ""'6K & 6볼넷' KIA 김기훈의 두 얼굴...3실점 4회 도중 강판"", ""달라진 LG '천적' 두산에 2연승…KIA 한승택 9회 역전 만루포"", '한승택, 9회 대타로 나서 역전 만루포!... KIA 6-4 역전', '한화 송은범·임준섭·김민하, KIA 유승철·신범수 2군행…양성우·서균·박정...', '[SC프리뷰]신인 김기훈. 연장혈투 KIA 불펜에 편안함을 줄까', 'SK 최정, KIA 루키 김기훈 상대 ‘시즌 3호 홈런’', '[야구전광판] 투수 16명·볼넷 17개, KIA-SK 5시간 16분 혈투 끝 무승부', '제구 흔들-피홈런 휘청... KIA 김기훈, 3⅔이닝 3실점 패전 위기', ""한승택, 9회 대타 '만루포' KIA, SK 7연승 막아"", ""'절친더비' SK·KIA, 5시간 훌쩍... 첫대결부터 '후끈' [★현장]"", '프로야구, 기아 타이거즈-SK 연장 혈투끝 무승부', ""'9회 한승택 역전 만루포' KIA, SK에 극적인 역전승"", 'KIA 이명기, 어깨 부상으로 선발 라인업 제외…최형우 ‘4번·좌익수’', ""SK-KIA '헛심 공방' 시즌 첫 무승부…0C 나성범 첫 끝내기 안타"", '한승택 9회 대타 역전만루포...미러클 KIA, SK 7연승 저지 [오!쎈 리뷰]', ""'한승택 9회 역전 만루포' KIA, SK 7연승 저지"", 'KIA 엔트리 변화, 박정수·양승철 I0-유승철·신범수 OUT', ""'12회말 2사 만루 무득점' SK, KIA전 연장 혈투 끝에 무승부"", '박종훈, 천적 KIA상대 7이닝 1실점…‘첫 승’ 보인다'}",1
2019.04.14,"{""'파이어볼러' KIA 홍건희, 6이닝 4K 1실점...996일 만 QS '폭발'"", '""다 어디로 갔나?"" KIA 주전 6명 빠진 선발 라인업...안치홍도 벤치 출발', '기아 이창진 활약에 야구팬 ‘활짝’ … “아기호랑이로 세대 교체”', '기아차 광주전남본부, 신애원 초청 야구경기 관람', '해도 뜨고 방수포도 치워졌다, 문학 KIA-SK전 정상 개시할 듯 [S탠바이]', ""[SC현장분석]KIA 이창진 역전 투런포 '쾅!', 프로 데뷔 홈런 작렬"", '[부고] 이석범(KIA 타이거즈 홍보팀 차장)씨 조부상', 'KIA 한승택 만루홈런, 누가 예상했을까', '여수시, 기아챔피언스필드서 이색 홍보활동', '기아 이창진 야구선수, 기아 타이거즈 데뷔 홈런', '[KBO] KIA 홍건희. SK전 6이닝 1실점 ‘선발 합격점’', '잇몸으로 SK 잡은 영건 타이거즈, 리빌딩 명분 확실하다', ""[★현장] KIA-SK전 앞둔 인천에 '오락가락' 봄비... 비 예보는 사라져"", ""'군필·대졸·27세 루키' KIA 양승철, 강렬했던 데뷔전 승리 [★인터뷰]"", ""[SC핫포커스]'역전 그랜드 슬램' KIA 한승택, 백업포수 인생도 역전할까"", ""'이창진 결승포-홍건희 977일만의 선발승' KIA, 이틀 연속 SK 제압"", 'KIA, 잇몸야구로 SK 꺾고 2연승...롯데 6연패 수렁', 'KIA 한승택, 이번엔 동점홈런 ‘2G 연속 홈런’', ""'주전 안 부럽다'… KIA 타선 이끄는 젊은 선수들"", 'KIA 이창진 프로 데뷔 첫 홈런 ‘쾅’', ""'한승택·이창진 홈런-홍건희 첫 승' KIA, SK에 위닝시리즈"", '이범호 돌아왔지만…늦출 수 없는 KIA의 부상 경계', 'KIA 타이거즈, 한승택·이창진 연이은 홈런으로 역전승', '고참들 후진 KIA, 젊은 피들 전진 기어', ""1위 SK 끌어내린 KIA '영 타이거즈의 힘'"", '두 번의 트레이드, 그리고 첫 홈런까지…타이거즈 이창진은 뛴다', 'KIA 호랑이 영건들, 비룡부대 격파하다', '[SC히어로]\'2년8개월 만에 선발승\' KIA 홍건희 ""2군서 준비한 만큼만 던지려고...', ""KIA 박정수, 하루 만에 1군 말소... '선발' 홍건희 등록"", '[SC히어로]\'역전 투런포\' KIA 이창진 ""프로 데뷔 5년 만에 첫 홈런이라 더 짜...', '기아차 광주공장 파트장협의회, 장애인과 함께하는 야구관람', '하위권 KIA·롯데, 타선이 살아나야 올라간다 [천일평의 야구장 가는 길]', '프로야구 롯데, KIA와 홈 3연전서 뉴트로 시리즈 이벤트', '[글로벌-Biz 24] 기아차, 러시아 노보시비르스크에 세 번째 대리점 오픈', '8안타 합작한 KIA 영건들, 베테랑 없어도 젊은 피 있기에 [S포트라이트]', ""[SC현장리뷰]'선발 홍건희 QS+이창진 역전 투런포' KIA 첫 위닝시리즈, SK에 ..."", ""KIA 안치홍, 손바닥 이상 선발 제외... '만루포' 한승택 선발""}",1
2019.04.15,"{'[부고] KIA타이거즈 홍보팀 이석범 차장 조부상', 'KIA, 김주찬 1군 합류-김선빈·박준표·임기영 복귀 준비', '기아차 광주전남지역본부 신애원 초청 야구경기 관람', ""<프로야구 주간전망대>'백업 들의 반란' KIA, 반등 이끈다"", '무명들이 만든 주말의 기적...KIA 상승 동력되나? [오!쎈 분석]', 'KIA 젊은 돌풍에 김주찬만 1군 복귀...김선빈은 퓨처스 실전', 'KIA가 부러운 롯데, 6연패는 결국 선수층 차이', ""'장타폭발' 한승택, KIA 안방마님 경쟁 불 붙였다"", '[SC인터뷰]2년6개월간 야구 접었던 KIA 양승철 ""부모님이 주신 좋은 어깨로 다...', ""'유망주 대활약' KIA, SK 꺾고 주말 3연전 위닝시리즈 달성"", '분위기 반전 KIA ""상승세 잇는다""', ""분위기 '극과 극', KIA 윌랜드-롯데 김건국 충돌…3연승이냐? 연패 끝이냐?"", ""[SC현장분석]KIA '영건'이 만든 위닝시리즈, 투타 모두 단단해지고 있다"", ""KIA 숙원 이루나… '영건 전성시대'""}",1
2019.04.16,"{'KIA 김주찬 1군 콜업, 16일 롯데전 선발출장', ""'이대호 4타점' 롯데, 접전 끝 KIA 제압…6연패 탈출"", ""상승세 KIA, 6연패 '롯데 보약' 먹고 상위권 도약할까…윌랜드-양현종-터너, ..."", ""KIA 김주찬 '아...삼진'"", '[프리뷰]윌랜드, KIA 3연승 이끌까', 'KIA 주간전망- 호랑이, 상위권 도약 지금이 기회다', 'KIA 윌랜드 4⅔이닝9실점 와르르', ""[풀카운트] '깜짝 스타' 이창진, KIA 세대교체 선봉장 될까"", '영건 불펜진 과부하 우려, KIA는 답을 갖고 있나', '‘15안타·10득점’ 롯데, 난타전서 KIA 제압…6연패 탈출', ""[SC현장분석]KIA '에이스' 윌랜드 시즌 최악투, 롯데전 4⅔이닝 9실점"", ""KIA 이창진 '어림없어'"", ""KIA 한승택 '2타점 적시타'"", ""KIA 이범호의 '산책 주루', 20년 야구인생 불사르는 투혼의 증표"", '2군서도 헤매고 있는 KIA 해즐베이커, 6년 만에 시즌 도중 방출 외인타자 될까...', ""KIA '점수차 시원하게 벌리자'"", ""' KIA 상승세' 4·5선발이 변수다"", '모자 벗고 인사하는 김기태 KIA감독…기운차려 다시 뛰는 호랑이', ""'빅이닝 역전→재역전' 롯데 6연패 탈출, KIA에 10대9 신승"", '[SC현장분석]롯데 김건국 3회 못 버텼다, KIA전 2⅓이닝 3실점 부진', ""KIA '승리 예감'"", '\'2년 방황\' 끝낸 KIA 홍건희 ""욕심 내니 무너지더라"" [★인터뷰]', ""'5회 7득점' 롯데, 3회 7실점하고도 KIA에 10-9 승리"", '베테랑 타자의 복귀…한화 이성열·KIA 김주찬, 1군 등록'}",0
2019.04.17,"{'롯데, KIA 폭투로 역전', '[SC현장분석]롯데 1선발 레일리 시즌 첫 승 불발, KIA전 8K 4실점', '롯데-한화-KIA의 공통 고민, ‘고정 선발진’은 언제쯤 갖출까', ""KIA 박찬호 '동점축하'"", ""[SC현장분석]KIA-롯데 '동병상련', 1선발 양현종-레일리의 지독하게 잡히지 않..."", '손아섭 굿바이 투런 홈런…롯데, KIA에 이틀 연속 역전승', ""[SC인&아웃]'어깨통증' KIA 이명기 17일 롯데전 선발 제외, '레일리 천적' 문..."", '살아난 KIA 타선, 터져야 할 최형우', ""[SC핫포커스]KIA 뼈아픈 재역전 패배서 얻은 소득 '윌랜드-코칭스태프 신뢰'"", ""[야구전광판] '한 이닝 7득점 맞불' 롯데, KIA 꺾고 6연패 탈출"", ""'이대호 4타점' 롯데, KIA 꺾고 6연패 탈출"", ""[SC현장리뷰]'손아섭 연장 끝내기 투런포' 롯데, KIA 3차례 역전 끝에 8대6 승..."", ""'4패' KIA 양현종 VS '3패' 롯데 레일리, 첫 승 걸린 맞대결 누가 웃을까"", 'KIA 최형우, 고효준 상대 균형 깨는 투런홈런 ‘시즌 2호’', '‘레일리 천적’ KIA 문선재, 7번 우익수 선발 출장 [현장 S0S]', '[포토] KIA 연패, 무거운 발거음...', '외국인 타자 희비…두산 함박웃음, KIA 울상, LG 걱정', 'KIA, 베테랑-젊은피 무한 생존 게임 시작됐다', ""기아차 광주공장, '2019 기아 챌린지 콘서트' 후원""}",0
2019.04.18,"{'前 KIA 버나디나, 대만 라미고 몽키스 입단', '프로야구 KIA, 롯데에 이틀 연속 역전패...양현종 부상', '기아차 광주공장 ‘2019 기아 챌린지 콘서트’후원', '[SC현장분석]KIA 2선발 터너 시즌 첫 승 불발, 롯데전 6이닝 4실점 부진', ""'9회말 전준우 끝내기 희생플라이' 롯데, 시즌 첫 '스윕'…KIA에 10대9 역전승"", ""'손아섭 연장 끝내기 홈런' 롯데, KIA에 짜릿한 승리"", '프로야구, KIA 타이거즈 3일 연속 역전패', ""'손아섭 끝내기 투런포' 롯데, KIA에 연장 접전 끝 승리... 주중 3연전 위닝시..."", ""'롯데에 2연패' KIA, 나지완·김선빈 1군 콜업…문선재·홍재호 엔트리 제외"", ""'8점 주고 6점 받고' 롯데, KIA에 9회 재역전승…SK 4연패 탈출(종합)"", ""'전준우 끝내기' 롯데, KIA에 극적 재역전승…3연전 스윕"", ""[SC현장분석]롯데 김원중 '에이스 본색', KIA전 7이닝 1실점 호투"", ""'1군 복귀' KIA 나지완, 롯데전 대타 홈런 작렬…개인 200호"", '흔들흔들 KIA 불펜, 결국 김윤동까지 무너졌다'}",0
2019.04.19,"{""승패 이외에 잃은 게 더 많았던 KIA-롯데의 '불꽃 3연전'"", '박찬호의 3루타…6:8까지 따라붙는 KIA', '[SC코멘트]\'KIA에 진땀승\' 김태형 감독 ""어려운 경기였다""', 'KIA 나지완 200홈런-LG 김민성 100홈런 달성', ""[스포츠 영상] KIA 타이거즈 이창진 '다이빙 캐치'"", '밀어내기 볼넷으로 4:1 달아나는 KIA', '쓰러진 김윤동, KIA 영건 불펜에 관리가 절실한 이유', '김윤동, 부상 기아 타이거즈 1군 말소...김기태 악재', 'KIA 추격 뿌리치는 두산', '대타작전 번번이 실패하는 KIA', '허망한 끝내기 주루사... KIA, 두산에 무릎 꿇고 4연패', '뒷심 빠진 KIA, 4경기 연속 역전패…최하위 추락 위기', '역투하는 KIA 고영창', '“프로 맞나?” 소득 없는 KIA-롯데의 ‘저질야구’', ""[SC현장리포트]'왜 돌아오질 못하니' KIA 4연패 만든 엇박 야구"", '또 무너진 KIA, 역전 발판 두산...불펜에서 갈렸다 [오!쎈 승부처]', '두산 8:6으로 기아전 승리', 'KIA 시즌 첫 4연패 수렁', '대만으로 간 버나디나, 위기의 해즐베이커, 답답한 KIA', ""[SC현장리뷰]'박세혁 3타점 펄펄' 두산, KIA에 8대6 재역전승"", ""'9회에만 합산 14득점' 롯데-KIA 대혈투의 씁쓸한 뒷맛"", 'KIA 추격의지 꺾는 투런포 친 오재일'}",1
2019.04.20,"{'볼볼볼→실점, 4사구 65% 급증...KIA 젊은 마운드 숙제', '프로야구, KIA 타이거즈 4연속 역전패...두산 8-6 승', '아이고 어깨야… KIA 마운드 무너지는 소리', '[SC인&아웃]KIA 파격 라인업, 나지완 2번-우익수 출장', '두산, KIA 잡고 선두 질주…키움·0C 공동 3위(종합)', ""[견제구] '예고된 부상' KIA 김윤동, 누구의 책임인가"", '두산 방망이 폭발…KIA 속절없이 5연패', '벌써 힘 빠진 불펜…‘4연패’ KIA, 밑바닥이 보인다', '[야구전광판] 4연패 빠진 KIA, 9위 추락…10위 KT와 0.5G 차', ""'퓨처스 제로맨' 장지수 1군 승격...KIA 웃픈 루키 풍년 [오!쎈 현장]"", '이틀간 4사구 19개 남발, 이길 수가 없었던 KIA'}",0
2019.04.21,"{'KIA 갸밀리 데이 어린이 걷기대회', '6연패 빠진 KIA, 최하위 추락…두산에 2-9 패', ""KIA '투타 밸런스 실종' 역대 첫 '10위' 수모"", '점수 만회하는 KIA', '두산에 스윕 당한 KIA, 6연패 수렁 ‘꼴찌 추락’', ""'ERA 2.76→9.34' 꼴찌 KIA, 널뛰기 마운드 회복이 열쇠 [오!쎈 현장]"", ""'페르난데스 만루포' 두산 3연승 질주…KIA 6연패"", ""'1~2번 타율 리그 꼴찌' KIA, 밥상을 차려주세요!"", '수비 실수 하는 KIA', ""'페르난데스 만루 홈런' 두산, KIA와의 3연전 싹쓸이"", '‘604일 만의 6연패’ KIA, 최하위로 추락', '맥과이어, 역대 14번째 노히트노런…6연패 KIA는 꼴찌 추락(종합)', '[SC현장리포트]KIA 충격의 6연패, 3985일만의 꼴찌 추락', ""[SC현장리뷰]'페르난데스 만루포' 두산 3연승…KIA 6연패"", ""'6연패 ERA 9.41' KIA, 리그 최하위 꼴찌로 추락했다"", '1회초에 2점 홈런포 맞은 KIA', '기아 타이거즈, 6연패, 프로야구 순위 꼴찌로', '삼성 맥과이어, 14번째 노히트노런…두산, KIA 원정 스윕(종합)', '[SC코멘트]\'KIA 스윕\' 김태형 감독 ""우리 선수들 고생했다""', '연패 빠진 KIA', 'KIA 김선빈과 아들'}",0
